Date,Open,High,Low,Close,Volume
2022-11-14 23:00:00+00:00,280.33,280.69,280.31,280.31,52868.0
2022-11-15 00:00:00+00:00,280.29,280.53,280.17,280.18,130120.0
2022-11-15 09:00:00+00:00,282.1,282.51,281.96,282.41,61624.0
2022-11-15 10:00:00+00:00,282.4,282.93,282.4,282.75,123973.0
2022-11-15 11:00:00+00:00,282.93,283.05,282.49,282.93,61413.0
2022-11-15 12:00:00+00:00,282.93,283.9,282.44,283.82,274469.0
2022-11-15 13:00:00+00:00,282.79,288.67,279.94,287.61,3431439.0
2022-11-15 14:00:00+00:00,287.65,287.71,285.0,286.6,10421198.0
2022-11-15 15:00:00+00:00,286.6,287.15,284.94,285.45,8229494.0
2022-11-15 16:00:00+00:00,285.52,286.88,284.5,286.74,8584594.0
2022-11-15 17:00:00+00:00,286.74,286.79,285.17,285.58,5079943.0
2022-11-15 18:00:00+00:00,285.6,285.87,280.25,282.15,13884203.0
2022-11-15 19:00:00+00:00,282.16,284.3,280.61,283.92,11118307.0
2022-11-15 20:00:00+00:00,283.91,284.69,282.82,283.63,10323592.0
2022-11-15 21:00:00+00:00,283.61,285.0,282.97,283.29,2692469.0
2022-11-15 22:00:00+00:00,283.35,283.6,283.1,283.17,108409.0
2022-11-15 23:00:00+00:00,283.2,283.42,282.43,283.37,128583.0
2022-11-16 00:00:00+00:00,283.42,283.51,282.04,282.08,151678.0
2022-11-16 09:00:00+00:00,283.6,284.27,283.6,284.1,37258.0
2022-11-16 10:00:00+00:00,284.13,284.75,283.72,283.76,57163.0
2022-11-16 11:00:00+00:00,283.71,283.71,283.07,283.33,88304.0
2022-11-16 12:00:00+00:00,283.3,283.64,282.8,283.63,170214.0
2022-11-16 13:00:00+00:00,283.12,284.65,281.75,281.87,1124162.0
2022-11-16 14:00:00+00:00,281.85,282.48,279.91,280.71,8254159.0
2022-11-16 15:00:00+00:00,280.7,281.03,278.91,279.09,6964400.0
2022-11-16 16:00:00+00:00,279.1,280.96,279.02,280.34,6921368.0
2022-11-16 17:00:00+00:00,280.35,281.82,279.83,280.95,4605150.0
2022-11-16 18:00:00+00:00,280.92,281.32,279.62,279.77,3830559.0
2022-11-16 19:00:00+00:00,279.76,280.48,279.49,280.33,4510269.0
2022-11-16 20:00:00+00:00,280.32,280.43,279.02,279.69,8128750.0
2022-11-16 21:00:00+00:00,279.72,281.19,279.63,280.48,4168988.0
2022-11-16 22:00:00+00:00,280.49,280.57,279.73,280.57,440452.0
2022-11-16 23:00:00+00:00,280.39,280.73,280.33,280.65,129933.0
2022-11-17 00:00:00+00:00,280.62,280.79,280.52,280.74,64098.0
2022-11-17 09:00:00+00:00,281.26,281.26,279.19,279.34,72535.0
2022-11-17 10:00:00+00:00,279.53,279.93,278.01,278.13,109338.0
2022-11-17 11:00:00+00:00,278.0,278.53,277.52,278.43,150696.0
2022-11-17 12:00:00+00:00,278.47,278.54,277.05,277.21,435594.0
2022-11-17 13:00:00+00:00,278.39,281.75,275.46,275.54,1453264.0
2022-11-17 14:00:00+00:00,275.51,277.31,274.75,276.19,7503366.0
