Date,Close,High,Low,Open,Volume
2024-05-29,44.0,44.0,42.79999923706055,43.0,200
2024-05-30,44.79999923706055,45.400001525878906,43.0,43.20000076293945,675
2024-05-31,45.0,45.0,43.79999923706055,45.0,265
2024-06-03,42.20000076293945,44.20000076293945,42.20000076293945,44.20000076293945,170
2024-06-04,43.599998474121094,45.0,42.0,45.0,160
2024-06-05,43.400001525878906,44.20000076293945,42.599998474121094,43.0,155
2024-06-06,46.0,46.599998474121094,44.0,45.0,2755
2024-06-07,44.599998474121094,47.400001525878906,44.20000076293945,47.400001525878906,565
2024-06-10,42.20000076293945,46.20000076293945,42.0,43.400001525878906,615
2024-06-11,44.400001525878906,47.400001525878906,42.79999923706055,44.0,825
2024-06-12,40.79999923706055,45.599998474121094,40.400001525878906,45.400001525878906,1260
2024-06-13,43.20000076293945,43.599998474121094,40.20000076293945,42.20000076293945,450
2024-06-14,40.0,42.0,40.0,41.0,1100
2024-06-17,40.0,41.79999923706055,38.599998474121094,40.79999923706055,540
2024-06-18,36.400001525878906,41.79999923706055,35.20000076293945,39.0,1375
2024-06-20,35.400001525878906,37.400001525878906,35.0,36.400001525878906,475
2024-06-21,37.79999923706055,38.79999923706055,35.599998474121094,38.400001525878906,400
2024-06-24,38.0,41.599998474121094,38.0,41.599998474121094,335
2024-06-25,36.79999923706055,39.0,36.79999923706055,38.0,95
2024-06-26,36.599998474121094,42.20000076293945,34.79999923706055,42.20000076293945,210
2024-06-27,38.599998474121094,39.0,37.599998474121094,39.0,320
2024-06-28,35.79999923706055,41.0,35.79999923706055,41.0,115
2024-07-01,36.79999923706055,40.599998474121094,36.79999923706055,40.599998474121094,150
2024-07-02,35.79999923706055,36.79999923706055,34.79999923706055,35.20000076293945,1040
2024-07-03,38.599998474121094,43.0,38.400001525878906,40.0,345
2024-07-05,37.20000076293945,40.400001525878906,37.20000076293945,40.400001525878906,70
2024-07-08,37.0,39.400001525878906,36.0,38.79999923706055,275
2024-07-09,38.20000076293945,39.0,32.400001525878906,39.0,75
2024-07-10,38.599998474121094,39.0,38.599998474121094,39.0,90
2024-07-11,35.79999923706055,35.79999923706055,30.600000381469727,32.0,11220
2024-07-12,32.79999923706055,35.0,31.799999237060547,34.599998474121094,830
2024-07-15,32.79999923706055,34.400001525878906,31.799999237060547,34.400001525878906,520
2024-07-16,32.20000076293945,35.0,28.600000381469727,29.399999618530273,25005
2024-07-17,33.599998474121094,34.400001525878906,31.200000762939453,33.79999923706055,1035
2024-07-18,31.0,33.0,28.799999237060547,28.799999237060547,2975
2024-07-19,30.799999237060547,33.20000076293945,29.200000762939453,31.0,2530
2024-07-22,32.599998474121094,33.79999923706055,31.399999618530273,33.79999923706055,1480
2024-07-23,34.20000076293945,35.0,32.79999923706055,34.599998474121094,725
2024-07-24,35.0,35.79999923706055,33.0,33.79999923706055,1480
2024-07-25,34.79999923706055,36.599998474121094,34.0,35.0,620
2024-07-26,33.0,36.400001525878906,33.0,36.400001525878906,760
2024-07-29,34.20000076293945,37.20000076293945,33.0,37.20000076293945,190
2024-07-30,34.400001525878906,34.400001525878906,32.400001525878906,34.0,495
2024-07-31,34.20000076293945,38.20000076293945,33.400001525878906,34.400001525878906,740
2024-08-01,34.400001525878906,36.0,34.20000076293945,35.79999923706055,90
2024-08-02,32.0,33.400001525878906,30.0,33.400001525878906,535
2024-08-05,34.400001525878906,34.79999923706055,31.0,32.0,1115
2024-08-06,32.79999923706055,34.20000076293945,32.400001525878906,33.79999923706055,480
2024-08-07,34.0,36.599998474121094,31.399999618530273,36.599998474121094,1875
2024-08-08,35.599998474121094,36.0,31.200000762939453,31.799999237060547,810
2024-08-09,33.0,35.599998474121094,32.599998474121094,34.400001525878906,605
2024-08-12,33.0,34.20000076293945,31.799999237060547,32.79999923706055,560
2024-08-13,34.599998474121094,36.400001525878906,33.20000076293945,34.20000076293945,1610
2024-08-14,36.400001525878906,38.400001525878906,33.20000076293945,38.400001525878906,1505
2024-08-15,37.400001525878906,38.400001525878906,36.0,37.0,530
2024-08-16,35.20000076293945,40.20000076293945,35.20000076293945,39.79999923706055,1230
2024-08-19,37.79999923706055,38.599998474121094,36.20000076293945,37.0,1015
